Name,Version
fonts-tlwg-waree,0.6.2
fonts-tlwg-waree-ttf,0.6.2
foomatic-db-compressed-ppds,20160212
freeglut3:amd64,2.8.1
freepats,20060219
friendly-recovery,0.2.31
ftp,0.17
fuse,2.9.4
fuseiso,20070708
fwupd,0.8.3
fwupdate,0.5
fwupdate-signed,1.11.3
g++,5.3.1
g++-4.8,4.8.5
g++-5,5.4.0
g++-5-multilib,5.4.0
g++-multilib,5.3.1
gcc,5.3.1
gcc-4.8,4.8.5
gcc-4.8-base:amd64,4.8.5
gcc-4.8-multilib,4.8.5
gcc-5,5.4.0
gcc-5-base:amd64,5.4.0
gcc-5-base:i386,5.4.0
gcc-5-multilib,5.4.0
gcc-6-base:amd64,6.0.1
gcc-6-base:i386,6.0.1
gcc-multilib,5.3.1
gconf-service,3.2.6
gconf-service-backend,3.2.6
gconf2,3.2.6
gconf2-common,3.2.6
gcr,3.18.0
gdb,7.11.1
gdbserver,7.11.1
gdisk,1.0.1
gedit,3.18.3
gedit-common,3.18.3
genisoimage,1.1.11
geoclue,0.12.99
geoclue-ubuntu-geoip,1.0.2
geoip-database,20160408
gettext,0.19.7
gettext-base,0.19.7
gfortran,5.3.1
gfortran-5,5.4.0
ghostscript,9.26
ghostscript-x,9.26
gir1.2-accounts-1.0:amd64,1.21
gir1.2-appindicator3-0.1,12.10.1
gir1.2-atk-1.0,2.18.0
gir1.2-atspi-2.0,2.18.3
gir1.2-dbusmenu-glib-0.4:amd64,16.04.1
gir1.2-dee-1.0,1.2.7
gir1.2-freedesktop:amd64,1.46.0
gir1.2-gdata-0.0:amd64,0.17.4
gir1.2-gdkpixbuf-2.0:amd64,2.32.2
gir1.2-glib-2.0:amd64,1.46.0
gir1.2-gnomekeyring-1.0,3.12.0
gir1.2-goa-1.0:amd64,3.18.3
gir1.2-gst-plugins-base-1.0,1.8.3
gir1.2-gstreamer-1.0,1.8.3
gir1.2-gtk-3.0:amd64,3.18.9
gir1.2-gtksource-3.0:amd64,3.18.2
gir1.2-gudev-1.0:amd64,230
gir1.2-ibus-1.0:amd64,1.5.11
gir1.2-javascriptcoregtk-4.0:amd64,2.20.5
gir1.2-json-1.0:amd64,1.1.2
gir1.2-notify-0.7,0.7.6
gir1.2-packagekitglib-1.0,0.8.17
gir1.2-pango-1.0:amd64,1.38.1
gir1.2-peas-1.0:amd64,1.16.0
gir1.2-rb-3.0:amd64,3.3
gir1.2-secret-1:amd64,0.18.4
gir1.2-signon-1.0,1.13
gir1.2-soup-2.4,2.52.2
gir1.2-totem-1.0:amd64,3.18.1
gir1.2-totem-plparser-1.0:amd64,3.10.6
gir1.2-udisks-2.0:amd64,2.1.7
gir1.2-unity-5.0:amd64,7.1.4
gir1.2-vte-2.91:amd64,0.42.5
gir1.2-webkit2-4.0:amd64,2.20.5
gir1.2-wnck-3.0:amd64,3.14.1
git,2.7.4
git-core,2.7.4
git-man,2.7.4
gkbd-capplet,3.6.0
glib-networking:amd64,2.48.2
glib-networking-common,2.48.2
glib-networking-services,2.48.2
gnome-accessibility-themes,3.18.0
gnome-bluetooth,3.18.2
gnome-calculator,3.18.3
gnome-calendar,3.20.4
gnome-desktop3-data,3.18.2
gnome-disk-utility,3.18.3.1
gnome-font-viewer,3.16.2
gnome-keyring,3.18.3
gnome-mahjongg,3.18.0
gnome-menus,3.13.3
gnome-mines,3.18.2
gnome-orca,3.18.2
gnome-power-manager,3.18.0
gnome-screensaver,3.6.1
gnome-screenshot,3.18.0
gnome-session-bin,3.18.1.2
gnome-session-canberra,0.30
gnome-session-common,3.18.1.2
gnome-settings-daemon-schemas,3.18.2
gnome-software,3.20.5
gnome-software-common,3.20.5
gnome-sudoku,3.18.4
gnome-system-log,3.9.90
gnome-system-monitor,3.18.2
gnome-terminal,3.18.3
gnome-terminal-data,3.18.3
gnome-user-guide,3.18.1
gnome-user-share,3.14.2
gnome-video-effects,0.4.1
gnupg,1.4.20
gnupg-agent,2.1.11
gnupg2,2.1.11
golang-1.6-go,1.6.2
golang-1.6-race-detector-runtime,0.0
golang-1.6-src,1.6.2
golang-go,1.6
golang-race-detector-runtime,1.6
golang-src,1.6
gpgv,1.4.20
graphviz,2.38.0
grep,2.25
grilo-plugins-0.2-base:amd64,0.2.17
gringo,4.5.4
groff-base,1.22.3
grub-common,2.02
grub-gfxpayload-lists,0.7
grub-pc,2.02
grub-pc-bin,2.02
grub2-common,2.02
gsettings-desktop-schemas,3.18.1
gsettings-ubuntu-schemas,0.0.5
gsfonts,8.11
gstreamer1.0-alsa:amd64,1.8.3
gstreamer1.0-clutter-3.0,3.0.18
gstreamer1.0-fluendo-mp3:amd64,0.10.32.debian
gstreamer1.0-libav:amd64,1.8.3
gstreamer1.0-plugins-bad:amd64,1.8.3
gstreamer1.0-plugins-bad-faad:amd64,1.8.3
gstreamer1.0-plugins-bad-videoparsers:amd64,1.8.3
gstreamer1.0-plugins-base:amd64,1.8.3
gstreamer1.0-plugins-base-apps,1.8.3
gstreamer1.0-plugins-good:amd64,1.8.3
gstreamer1.0-plugins-ugly:amd64,1.8.3
gstreamer1.0-plugins-ugly-amr:amd64,1.8.3
gstreamer1.0-pulseaudio:amd64,1.8.3
gstreamer1.0-tools,1.8.3
gstreamer1.0-x:amd64,1.8.3
gtk2-engines-murrine:amd64,0.98.2
gucharmap,3.18.2
guile-2.0-libs:amd64,2.0.11
gvfs:amd64,1.28.2
gvfs-backends,1.28.2
gvfs-bin,1.28.2
gvfs-common,1.28.2
gvfs-daemons,1.28.2
gvfs-fuse,1.28.2
gvfs-libs:amd64,1.28.2
gzip,1.6
hardening-includes,2.7
hddtemp,0.3
hdparm,9.48
hicolor-icon-theme,0.15
hostname,3.16
hplip,3.16.3
hplip-data,3.16.3
hud,14.10
humanity-icon-theme,0.6.10.1
hunspell-en-us,20070829
hunspell-it,5.1.0
hwdata,0.267
hyphen-en-us,2.8.8
hyphen-it,5.1.0
i965-va-driver:amd64,1.7.0
ibus,1.5.11
ibus-gtk:amd64,1.5.11
ibus-gtk3:amd64,1.5.11
ibus-table,1.9.1
icu-devtools,55.1
ifupdown,0.8.10
im-config,0.29
imagemagick,6.8.9.9
imagemagick-6.q16,6.8.9.9
imagemagick-common,6.8.9.9
indicator-application,12.10.1
indicator-appmenu,15.02.0
indicator-bluetooth,0.0.6
indicator-datetime,15.10
indicator-keyboard,0.0.0
indicator-messages,13.10.1
indicator-power,12.10.6
indicator-printers,0.1.7
indicator-session,12.10.5
indicator-sound,12.10.2
info,6.1.0.dfsg.1
init,1.29
init-system-helpers,1.29
initramfs-tools,0.122
initramfs-tools-bin,0.122
initramfs-tools-core,0.122
initscripts,2.88dsf
inputattach,1.4.9
insserv,1.14.0
install-info,6.1.0.dfsg.1
intel-gpu-tools,1.14
intel-microcode,3.20180807a.0
intltool-debian,0.35.0
ippusbxd,1.23
iproute2,4.3.0
iptables,1.6.0
iputils-arping,20121221
iputils-ping,20121221
iputils-tracepath,20121221
ipxe-qemu,1.0.0
irqbalance,1.1.0
isc-dhcp-client,4.3.3
isc-dhcp-common,4.3.3
iso-codes,3.65
iucode-tool,1.5.1
iw,3.17
java-common,0.56
javascript-common,11
jayatana,2.7
jq,1.5
kbd,1.15.5
kerneloops-daemon,0.12
keyboard-configuration,1.108
klibc-utils,2.0.4
kmod,22
krb5-locales,1.13.2
krb5-multidev,1.13.2
language-pack-en,16.04
language-pack-en-base,16.04
language-pack-gnome-en,16.04
language-pack-gnome-en-base,16.04
language-pack-gnome-it,16.04
language-pack-gnome-it-base,16.04
language-pack-it,16.04
language-pack-it-base,16.04
language-selector-common,0.165.4
language-selector-gnome,0.165.4
laptop-detect,0.13.7
ledit,2.03
less,481
lib32asan0,4.8.5
lib32asan2,5.4.0
lib32atomic1,5.4.0
lib32cilkrts5,5.4.0
lib32gcc-4.8-dev,4.8.5
lib32gcc-5-dev,5.4.0
lib32gcc1,6.0.1
lib32gomp1,5.4.0
lib32itm1,5.4.0
lib32mpx0,5.4.0
lib32quadmath0,5.4.0
lib32stdc++-5-dev,5.4.0
lib32stdc++6,5.4.0
lib32ubsan0,5.4.0
liba11y-profile-manager-0.1-0:amd64,0.1.10
liba11y-profile-manager-data,0.1.10
liba52-0.7.4:amd64,0.7.4
libaa1:amd64,1.4p5
libaacs0:amd64,0.8.1
libabw-0.1-1v5:amd64,0.1.1
libaccount-plugin-1.0-0:amd64,0.1.8
libaccount-plugin-generic-oauth,0.12
libaccount-plugin-google,0.12
libaccounts-glib0:amd64,1.21
libaccounts-qt5-1:amd64,1.14
libaccountsservice0:amd64,0.6.40
libacl1:amd64,2.2.52
libaio1:amd64,0.3.110
libalgorithm-diff-perl,1.19.03
libalgorithm-diff-xs-perl,0.04
libalgorithm-merge-perl,0.08
libandroid-properties1,0.1.0
libao-common,1.1.0
libao4:amd64,1.1.0
libapparmor-perl,2.10.95
libapparmor1:amd64,2.10.95
libappindicator1,12.10.1
libappindicator3-1,12.10.1
libappstream-glib8:amd64,0.5.13
libappstream3:amd64,0.9.4
libapr1:amd64,1.5.2
libaprutil1:amd64,1.5.4
libapt-inst2.0:amd64,1.2.29
libapt-pkg-perl,0.1.29build7
