Name,Version
ipxe-qemu-256k-compat-efi-roms,1.0.0+git-20150424.a25a16d-0ubuntu2
ipython,5.5.0-1
irqbalance,1.3.0-0.1
isc-dhcp-client,4.3.5-3ubuntu7
isc-dhcp-common,4.3.5-3ubuntu7
iso-codes,3.79-1
javascript-common,11
kbd,2.0.4-2ubuntu1
keyboard-configuration,1.178ubuntu2.3
klibc-utils,2.0.4-9ubuntu2
kmod,24-1ubuntu3
kpartx,0.7.4-2ubuntu3
krb5-locales,1.16-2ubuntu0.1
landscape-common,18.01-0ubuntu3.1
language-pack-it,1:18.04+20180712
language-pack-it-base,1:18.04+20180712
language-selector-common,0.188.1
less,487-0.1
lib32asan4,7.3.0-27ubuntu1~18.04
lib32atomic1,8.2.0-1ubuntu2~18.04
lib32cilkrts5,7.3.0-27ubuntu1~18.04
lib32gcc-7-dev,7.3.0-27ubuntu1~18.04
lib32gcc1,1:8.2.0-1ubuntu2~18.04
lib32gomp1,8.2.0-1ubuntu2~18.04
lib32itm1,8.2.0-1ubuntu2~18.04
lib32mpx2,8.2.0-1ubuntu2~18.04
lib32quadmath0,8.2.0-1ubuntu2~18.04
lib32stdc++-7-dev,7.3.0-27ubuntu1~18.04
lib32stdc++6,8.2.0-1ubuntu2~18.04
lib32ubsan0,7.3.0-27ubuntu1~18.04
libaa1:amd64,1.4p5-44build2
libaccountsservice0:amd64,0.6.45-1ubuntu1
libacl1:amd64,2.2.52-3build1
libaio1:amd64,0.3.110-5
libalgorithm-diff-perl,1.19.03-1
libalgorithm-diff-xs-perl,0.04-5
libalgorithm-merge-perl,0.08-3
libapparmor1:amd64,2.12-4ubuntu5.1
libapt-inst2.0:amd64,1.6.6ubuntu0.1
libapt-pkg5.0:amd64,1.6.6ubuntu0.1
libarchive13:amd64,3.2.2-3.1ubuntu0.2
libargon2-0:amd64,0~20161029-1.1
libasan4:amd64,7.3.0-27ubuntu1~18.04
libasn1-8-heimdal:amd64,7.5.0+dfsg-1
libasound2:amd64,1.1.3-5ubuntu0.1
libasound2-data,1.1.3-5ubuntu0.1
libassuan0:amd64,2.5.1-2
libasyncns0:amd64,0.8-6
libatk-bridge2.0-0:amd64,2.26.2-1
libatk1.0-0:amd64,2.28.1-1
libatk1.0-data,2.28.1-1
libatm1:amd64,1:2.5.1-2build1
libatomic1:amd64,8.2.0-1ubuntu2~18.04
libatspi2.0-0:amd64,2.28.0-1
libattr1:amd64,1:2.4.47-2build1
libaudit-common,1:2.8.2-1ubuntu1
libaudit1:amd64,1:2.8.2-1ubuntu1
libavahi-client3:amd64,0.7-3.1ubuntu1.1
libavahi-common-data:amd64,0.7-3.1ubuntu1.1
libavahi-common3:amd64,0.7-3.1ubuntu1.1
libavc1394-0:amd64,0.5.4-4build1
libbabeltrace1:amd64,1.5.5-1
libbind9-160:amd64,1:9.11.3+dfsg-1ubuntu1.2
libbinutils:amd64,2.30-20ubuntu2~18.04
libblkid1:amd64,2.31.1-0.4ubuntu3.1
libbluetooth3:amd64,5.48-0ubuntu3.1
libbrlapi0.6:amd64,5.5-4ubuntu2.0.1
libbsd0:amd64,0.8.7-1
libbz2-1.0:amd64,1.0.6-8.1
libc-ares2:amd64,1.14.0-1
libc-bin,2.27-3ubuntu1
libc-dev-bin,2.27-3ubuntu1
libc6:amd64,2.27-3ubuntu1
libc6:i386,2.27-3ubuntu1
libc6-dbg:amd64,2.27-3ubuntu1
libc6-dbg:i386,2.27-3ubuntu1
libc6-dev:amd64,2.27-3ubuntu1
libc6-dev-i386,2.27-3ubuntu1
libc6-dev-x32,2.27-3ubuntu1
libc6-i386,2.27-3ubuntu1
libc6-x32,2.27-3ubuntu1
libcaca0:amd64,0.99.beta19-2ubuntu0.18.04.1
libcacard0:amd64,1:2.5.0-3
libcairo-gobject2:amd64,1.15.10-2
libcairo2:amd64,1.15.10-2
libcap-ng0:amd64,0.7.7-3.1
libcap2:amd64,1:2.25-1.2
libcap2-bin,1:2.25-1.2
libcapstone3:i386,3.0.4-5
libcc1-0:amd64,8.2.0-1ubuntu2~18.04
libcdparanoia0:amd64,3.10.2+debian-13
libcilkrts5:amd64,7.3.0-27ubuntu1~18.04
libcolord2:amd64,1.3.3-2build1
libcom-err2:amd64,1.44.1-1
libcroco3:amd64,0.6.12-2
libcryptsetup12:amd64,2:2.0.2-1ubuntu1
libcups2:amd64,2.2.7-1ubuntu2.2
libcurl3-gnutls:amd64,7.58.0-2ubuntu3.5
libcurl4:amd64,7.58.0-2ubuntu3.5
libdatrie1:amd64,0.2.10-7
libdb5.3:amd64,5.3.28-13.1ubuntu1
libdbus-1-3:amd64,1.12.2-1ubuntu1
libdconf1:amd64,0.26.0-2ubuntu3
libdebconfclient0:amd64,0.213ubuntu1
libdevmapper-event1.02.1:amd64,2:1.02.145-4.1ubuntu3
libdevmapper1.02.1:amd64,2:1.02.145-4.1ubuntu3
libdns-export1100,1:9.11.3+dfsg-1ubuntu1.2
libdns1100:amd64,1:9.11.3+dfsg-1ubuntu1.2
libdouble-conversion-dev:amd64,2.0.1-4ubuntu1
libdouble-conversion1:amd64,2.0.1-4ubuntu1
libdpkg-perl,1.19.0.5ubuntu2
libdrm-amdgpu1:amd64,2.4.91-2
libdrm-common,2.4.91-2
libdrm-intel1:amd64,2.4.91-2
libdrm-nouveau2:amd64,2.4.91-2
libdrm-radeon1:amd64,2.4.91-2
libdrm2:amd64,2.4.91-2
libdumbnet1:amd64,1.12-7build1
libdv4:amd64,1.0.0-11
libdw1:amd64,0.170-0.4
libeatmydata1:amd64,105-6
libedit2:amd64,3.1-20170329-1
libegl-mesa0:amd64,18.0.5-0ubuntu0~18.04.1
libegl1:amd64,1.0.0-2ubuntu2.1
libelf1:amd64,0.170-0.4
libepoxy0:amd64,1.4.3-1
liberror-perl,0.17025-1
libestr0:amd64,0.1.10-2.1
libevdev2:amd64,1.5.8+dfsg-1
libevent-2.1-6:amd64,2.1.8-stable-4build1
libexpat1:amd64,2.2.5-3
libexpat1-dev:amd64,2.2.5-3
libext2fs2:amd64,1.44.1-1
libfakeroot:amd64,1.22-2ubuntu1
libfastjson4:amd64,0.99.8-2
libfdisk1:amd64,2.31.1-0.4ubuntu3.1
libfdt1:amd64,1.4.5-3
libffi6:amd64,3.2.1-8
libfile-fcntllock-perl,0.22-3build2
libflac8:amd64,1.3.2-1
libfontconfig1:amd64,2.12.6-0ubuntu2
libfreetype6:amd64,2.8.1-2ubuntu2
libfribidi0:amd64,0.19.7-2
libfuse2:amd64,2.9.7-1ubuntu1
libgbm1:amd64,18.0.5-0ubuntu0~18.04.1
libgc1c2:amd64,1:7.4.2-8ubuntu1
libgcc-7-dev:amd64,7.3.0-27ubuntu1~18.04
libgcc1:amd64,1:8.2.0-1ubuntu2~18.04
libgcc1:i386,1:8.2.0-1ubuntu2~18.04
libgcrypt20:amd64,1.8.1-4ubuntu1.1
libgdbm-compat4:amd64,1.14.1-6
libgdbm5:amd64,1.14.1-6
libgdk-pixbuf2.0-0:amd64,2.36.11-2
libgdk-pixbuf2.0-bin,2.36.11-2
libgdk-pixbuf2.0-common,2.36.11-2
libgeoip1:amd64,1.6.12-1
libgirepository-1.0-1:amd64,1.56.1-1
libgl1:amd64,1.0.0-2ubuntu2.1
libgl1-mesa-dri:amd64,18.0.5-0ubuntu0~18.04.1
libglapi-mesa:amd64,18.0.5-0ubuntu0~18.04.1
libglib2.0-0:amd64,2.56.2-0ubuntu0.18.04.2
libglib2.0-bin,2.56.2-0ubuntu0.18.04.2
libglib2.0-data,2.56.2-0ubuntu0.18.04.2
libglib2.0-dev:amd64,2.56.2-0ubuntu0.18.04.2
libglib2.0-dev-bin,2.56.2-0ubuntu0.18.04.2
libglvnd0:amd64,1.0.0-2ubuntu2.1
libglx-mesa0:amd64,18.0.5-0ubuntu0~18.04.1
libglx0:amd64,1.0.0-2ubuntu2.1
libgmp-dev:amd64,2:6.1.2+dfsg-2
libgmp10:amd64,2:6.1.2+dfsg-2
libgmp10-dbgsym:amd64,2:6.1.2+dfsg-2
libgmp3-dev,2:6.1.2+dfsg-2
libgmpxx4ldbl:amd64,2:6.1.2+dfsg-2
libgnustep-base1.25,1.25.1-2ubuntu3
libgnutls30:amd64,3.5.18-1ubuntu1
libgomp1:amd64,8.2.0-1ubuntu2~18.04
libgpg-error0:amd64,1.27-6
libgpm2:amd64,1.20.7-5
libgraphite2-3:amd64,1.3.11-2
libgsoap-2.8.60:amd64,2.8.60-2build1
libgssapi-krb5-2:amd64,1.16-2ubuntu0.1
libgssapi3-heimdal:amd64,7.5.0+dfsg-1
libgstreamer-plugins-base1.0-0:amd64,1.14.1-1ubuntu1~ubuntu18.04.1
libgstreamer-plugins-good1.0-0:amd64,1.14.1-1ubuntu1~ubuntu18.04.1
libgstreamer1.0-0:amd64,1.14.1-1~ubuntu18.04.1
libgtk-3-0:amd64,3.22.30-1ubuntu1
libgtk-3-bin,3.22.30-1ubuntu1
libgtk-3-common,3.22.30-1ubuntu1
libgudev-1.0-0:amd64,1:232-2
libharfbuzz0b:amd64,1.7.2-1ubuntu1
libhcrypto4-heimdal:amd64,7.5.0+dfsg-1
libheimbase1-heimdal:amd64,7.5.0+dfsg-1
libheimntlm0-heimdal:amd64,7.5.0+dfsg-1
libhogweed4:amd64,3.4-1
libhttp-parser2.7.1:amd64,2.7.1-2
libhx509-5-heimdal:amd64,7.5.0+dfsg-1
libibverbs1:amd64,17.1-1
libice6:amd64,2:1.0.9-2
libicu60:amd64,60.2-3ubuntu3
libidn11:amd64,1.33-2.1ubuntu1
libidn2-0:amd64,2.0.4-1.1build2
libiec61883-0:amd64,1.2.0-2
libinput-bin,1.10.4-1
libinput10:amd64,1.10.4-1
libip4tc0:amd64,1.6.1-2ubuntu2
libip6tc0:amd64,1.6.1-2ubuntu2
libiptc0:amd64,1.6.1-2ubuntu2
libirs160:amd64,1:9.11.3+dfsg-1ubuntu1.2
libisc-export169:amd64,1:9.11.3+dfsg-1ubuntu1.2
libisc169:amd64,1:9.11.3+dfsg-1ubuntu1.2
libisccc160:amd64,1:9.11.3+dfsg-1ubuntu1.2
libisccfg160:amd64,1:9.11.3+dfsg-1ubuntu1.2
libiscsi7:amd64,1.17.0-1.1
libisl19:amd64,0.19-1
libisns0:amd64,0.97-2build1
libitm1:amd64,8.2.0-1ubuntu2~18.04
libjack-jackd2-0:amd64,1.9.12~dfsg-2
libjbig0:amd64,2.1-3.1build1
libjpeg-turbo8:amd64,1.5.2-0ubuntu5.18.04.1
libjpeg8:amd64,8c-2ubuntu8
libjs-async,0.8.0-3
libjs-inherits,2.0.3-1
libjs-jquery,3.2.1-1
libjs-node-uuid,1.4.7-5
libjs-underscore,1.8.3~dfsg-1
libjson-c3:amd64,0.12.1-1.3
libjson-glib-1.0-0:amd64,1.4.2-3
libjson-glib-1.0-common,1.4.2-3
libjsoncpp1:amd64,1.7.4-3
libk5crypto3:amd64,1.16-2ubuntu0.1
libkeyutils1:amd64,1.5.9-9.2ubuntu2
libklibc,2.0.4-9ubuntu2
libkmod2:amd64,24-1ubuntu3
libkrb5-26-heimdal:amd64,7.5.0+dfsg-1
libkrb5-3:amd64,1.16-2ubuntu0.1
